# lakeno iconn k i j claktype bedleak belev telev connlen connwidth
 1 2 0 19 2 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 1 3 0 20 2 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 1 4 0 20 2 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 1 5 0 21 3 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 1 6 0 21 3 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 1 7 0 22 4 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 1 8 0 23 4 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 1 9 0 24 2 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 1 10 0 24 2 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 1 11 0 24 3 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 1 12 0 25 2 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 1 13 0 26 0 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 1 14 0 26 1 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 1 15 1 18 1 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 16 1 19 1 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 17 1 20 1 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 18 1 21 1 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 19 1 21 2 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 20 1 22 0 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 21 1 22 1 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 22 1 22 2 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 23 1 22 3 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 24 1 23 0 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 25 1 23 1 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 26 1 23 2 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 27 1 23 3 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 28 1 24 0 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 29 1 24 1 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 30 1 25 0 VERTICAL 1.0 0.0 0.0 0.0 0.0
 1 31 1 25 1 VERTICAL 1.0 0.0 0.0 0.0 0.0
